# Input,ChemicalName,ChemicalID,CasRN,DiseaseName,DiseaseID,DiseaseCategories,OmimIDs,PubMedIDs,DirectEvidence
mesh:d009422,"2,2',4,4',5-brominated diphenyl ether",C477694,,Nervous System Diseases,MESH:D009422,Nervous system disease,,22323513,marker/mechanism
mesh:d009422,4-hydroxy-2-nonenal,C027576,29343-52-0,Nervous System Diseases,MESH:D009422,Nervous system disease,,19326901,marker/mechanism
mesh:d009422,Acrylamide,D020106,79-06-1,Nervous System Diseases,MESH:D009422,Nervous system disease,,12164553|12507653|7073948,marker/mechanism
mesh:d009422,Adenosine,D000241,58-61-7,Nervous System Diseases,MESH:D009422,Nervous system disease,,22106038,therapeutic
mesh:d009422,Amiodarone,D000638,1951-25-3,Nervous System Diseases,MESH:D009422,Nervous system disease,,2590102|2994809|2996105|3273535|3715200|531409|6270631|6318212|6323638|7094952|7552215,marker/mechanism
mesh:d009422,Anisomycin,D000841,22862-76-6,Nervous System Diseases,MESH:D009422,Nervous system disease,,16181420,therapeutic
mesh:d009422,Aprepitant,D000077608,,Nervous System Diseases,MESH:D009422,Nervous system disease,,18719071,marker/mechanism
mesh:d009422,Arsenic,D001151,7440-38-2,Nervous System Diseases,MESH:D009422,Nervous system disease,,19371619,marker/mechanism
mesh:d009422,Arsenic Trioxide,D000077237,1327-53-3,Nervous System Diseases,MESH:D009422,Nervous system disease,,11864496|21533816,marker/mechanism
mesh:d009422,Ascorbic Acid,D001205,50-81-7,Nervous System Diseases,MESH:D009422,Nervous system disease,,2554183,therapeutic
mesh:d009422,benzamide,C037689,27208-38-4,Nervous System Diseases,MESH:D009422,Nervous system disease,,8911677,therapeutic
mesh:d009422,Bortezomib,D000069286,,Nervous System Diseases,MESH:D009422,Nervous system disease,,17214983|19274460|20188093|20830808,marker/mechanism
mesh:d009422,Capsaicin,D002211,404-86-4,Nervous System Diseases,MESH:D009422,Nervous system disease,,6847703,marker/mechanism
mesh:d009422,Carbamazepine,D002220,298-46-4,Nervous System Diseases,MESH:D009422,Nervous system disease,,1352629|1733741|2749458|3569036|6401711|6439058,marker/mechanism
mesh:d009422,Carboplatin,D016190,41575-94-4,Nervous System Diseases,MESH:D009422,Nervous system disease,,12699562|14758127|15493357|15493358|20547415|8643973|9007120|9007126|9346226|9346228|9440750|9598687,marker/mechanism
mesh:d009422,Carmustine,D002330,154-93-8,Nervous System Diseases,MESH:D009422,Nervous system disease,,10918425|3026626|6354414,marker/mechanism
mesh:d009422,Celecoxib,D000068579,,Nervous System Diseases,MESH:D009422,Nervous system disease,,17084549,marker/mechanism
mesh:d009422,Chlorpromazine,D002746,50-53-3,Nervous System Diseases,MESH:D009422,Nervous system disease,,7254089,marker/mechanism
mesh:d009422,Chlorpyrifos,D004390,2921-88-2,Nervous System Diseases,MESH:D009422,Nervous system disease,,22287024,marker/mechanism
mesh:d009422,Ciprofloxacin,D002939,85721-33-1,Nervous System Diseases,MESH:D009422,Nervous system disease,,11344971,marker/mechanism
mesh:d009422,Cisplatin,D002945,15663-27-1,Nervous System Diseases,MESH:D009422,Nervous system disease,,11205470|11745184|12110496|12552058|14615449|15930889|16039110|2119878|2380760|3785625|6086264|6147640|7191768,marker/mechanism
mesh:d009422,Copper,D003300,7440-50-8,Nervous System Diseases,MESH:D009422,Nervous system disease,,17415508|23452774,marker/mechanism
mesh:d009422,Cycloheximide,D003513,66-81-9,Nervous System Diseases,MESH:D009422,Nervous system disease,,11756511,therapeutic
mesh:d009422,Cyclophosphamide,D003520,50-18-0,Nervous System Diseases,MESH:D009422,Nervous system disease,,19274460|2119878|4551303,marker/mechanism
mesh:d009422,Cyclosporine,D016572,59865-13-3,Nervous System Diseases,MESH:D009422,Nervous system disease,,1818543|2360262|7491699,marker/mechanism
mesh:d009422,Dactinomycin,D003609,50-76-0,Nervous System Diseases,MESH:D009422,Nervous system disease,,11756511,therapeutic
mesh:d009422,decabromobiphenyl ether,C010902,1163-19-5,Nervous System Diseases,MESH:D009422,Nervous system disease,,17030062|21787616,marker/mechanism
mesh:d009422,Deferoxamine,D003676,70-51-9,Nervous System Diseases,MESH:D009422,Nervous system disease,,16844102,therapeutic
mesh:d009422,Dexamethasone,D003907,50-02-2,Nervous System Diseases,MESH:D009422,Nervous system disease,,15814210|15849376|19274460|20972278|9565440,marker/mechanism
mesh:d009422,Diclofenac,D004008,15307-86-5,Nervous System Diseases,MESH:D009422,Nervous system disease,,8510483,marker/mechanism
mesh:d009422,Doxorubicin,D004317,23214-92-8,Nervous System Diseases,MESH:D009422,Nervous system disease,,11147586|18719071|1905199|7191768|7534090|7595726|8893894|9374088,marker/mechanism
mesh:d009422,Estradiol,D004958,50-28-2,Nervous System Diseases,MESH:D009422,Nervous system disease,,11246153,therapeutic
mesh:d009422,Estrogens,D004967,,Nervous System Diseases,MESH:D009422,Nervous system disease,,11424955|12105091,marker/mechanism|therapeutic
mesh:d009422,Ethanol,D000431,64-17-5,Nervous System Diseases,MESH:D009422,Nervous system disease,,12486488|1665979|21783534|2554183,marker/mechanism|therapeutic
mesh:d009422,Etoposide,D005047,33419-42-0,Nervous System Diseases,MESH:D009422,Nervous system disease,,10918425|6277454,marker/mechanism
mesh:d009422,Fluorouracil,D005472,51-21-8,Nervous System Diseases,MESH:D009422,Nervous system disease,,10099659|1208028|1260786|18431023|2119878|2295446|3335642|8053919|8610636|893213|924840,marker/mechanism
mesh:d009422,gemcitabine,C056507,103882-84-4,Nervous System Diseases,MESH:D009422,Nervous system disease,,9164208,marker/mechanism
mesh:d009422,Glutathione,D005978,70-18-8,Nervous System Diseases,MESH:D009422,Nervous system disease,,19287306,therapeutic
mesh:d009422,Heparin,D006493,9005-49-6,Nervous System Diseases,MESH:D009422,Nervous system disease,,4464499,marker/mechanism
mesh:d009422,Hexachlorophene,D006582,,Nervous System Diseases,MESH:D009422,Nervous system disease,,1137505|220531|6592932,marker/mechanism
mesh:d009422,"Hydrocarbons, Chlorinated",D006843,,Nervous System Diseases,MESH:D009422,Nervous system disease,,16002376|17439927,marker/mechanism
mesh:d009422,Irinotecan,D000077146,,Nervous System Diseases,MESH:D009422,Nervous system disease,,15930889,marker/mechanism
mesh:d009422,Iron,D007501,7439-89-6,Nervous System Diseases,MESH:D009422,Nervous system disease,,23452774,marker/mechanism
mesh:d009422,Lead,D007854,7439-92-1,Nervous System Diseases,MESH:D009422,Nervous system disease,,1227852|20929057|6592932,marker/mechanism
mesh:d009422,Malathion,D008294,121-75-5,Nervous System Diseases,MESH:D009422,Nervous system disease,,1665979,marker/mechanism
mesh:d009422,Manganese,D008345,7439-96-5,Nervous System Diseases,MESH:D009422,Nervous system disease,,23452774,marker/mechanism
mesh:d009422,manganese chloride,C025340,7773-01-5,Nervous System Diseases,MESH:D009422,Nervous system disease,,22407947,marker/mechanism
mesh:d009422,Melatonin,D008550,73-31-4,Nervous System Diseases,MESH:D009422,Nervous system disease,,12955582,therapeutic
mesh:d009422,Mercuric Chloride,D008627,7487-94-7,Nervous System Diseases,MESH:D009422,Nervous system disease,,12490134|21244751,marker/mechanism
mesh:d009422,Mercury,D008628,7439-97-6,Nervous System Diseases,MESH:D009422,Nervous system disease,,20929057,marker/mechanism
mesh:d009422,Methamphetamine,D008694,537-46-2,Nervous System Diseases,MESH:D009422,Nervous system disease,,10082851|10433983|10516332|10522753|10642852|10698006|10773198|10974615|10983851|11006970|11093760|11129103|11158245|11246153|11424955|11553669|11558934|11756511|12030189|12105091|12105096|12452543|12459932|12486488|12766323|13679222|1381816|1432692|14615038|14999072|15050682|15081587|15093677|15111252|15163680|15234256|15276877|15303126|15542724|15686480|15930374|15987631|16181420|16838362|16844102|16926530|17105915|17105919|18410508|18766021|18991856|1905457|19834288|20211701|20722968|2073599|21130800|2554183|2720435|7505315|7530424|7538305|7690233|7974204|8099799|8467354|8911677|8915598|9132989|9359594|9369336|9427479|9495865|9634552|9715805,marker/mechanism|therapeutic
mesh:d009422,Methotrexate,D008727,59-05-2,Nervous System Diseases,MESH:D009422,Nervous system disease,,10963643|11070476|15019092|1569453|16562778|2119878|2399384|3875390|4105681|4551303|6582805|7093971|8326402|9346226|9586883,marker/mechanism
mesh:d009422,methylmercuric chloride,C004925,115-09-3,Nervous System Diseases,MESH:D009422,Nervous system disease,,33338554,marker/mechanism
mesh:d009422,Methylmercury Compounds,D008767,,Nervous System Diseases,MESH:D009422,Nervous system disease,,19341752|21035857|21783534|7073948,marker/mechanism
mesh:d009422,Nickel,D009532,7440-02-0,Nervous System Diseases,MESH:D009422,Nervous system disease,,19821026,marker/mechanism
mesh:d009422,Nicotine,D009538,,Nervous System Diseases,MESH:D009422,Nervous system disease,,9832142,therapeutic
mesh:d009422,Nifedipine,D009543,21829-25-4,Nervous System Diseases,MESH:D009422,Nervous system disease,,11753188,marker/mechanism
mesh:d009422,Oxaliplatin,D000077150,,Nervous System Diseases,MESH:D009422,Nervous system disease,,19287306|20308030|21114776|24908156,marker/mechanism
mesh:d009422,Paclitaxel,D017239,,Nervous System Diseases,MESH:D009422,Nervous system disease,,10362115|10777471|11147586|11205470|11221961|12110496|12216094|12442916|12552058|14615449|14758127|15252139|15493357|15493358|16039110|18042835|19704064|19727778|20547415|21321953|7525883|7595726|7638640|7669713|8097161|8636602|8643973|8893894|9007120|9007123|9007126|9007139|9149030|9164208|9239526|9346226|9346228|9374088|9440737|9440750|9676843|9774950,marker/mechanism
mesh:d009422,Paraquat,D010269,4685-14-7,Nervous System Diseases,MESH:D009422,Nervous system disease,,23017109,marker/mechanism
mesh:d009422,Phenobarbital,D010634,50-06-6,Nervous System Diseases,MESH:D009422,Nervous system disease,,3228330|4719784|6288881,marker/mechanism
mesh:d009422,Phenytoin,D010672,57-41-0,Nervous System Diseases,MESH:D009422,Nervous system disease,,10192272|11737171|1733741|4719784|6288881|8149357,marker/mechanism
mesh:d009422,Polychlorinated Biphenyls,D011078,,Nervous System Diseases,MESH:D009422,Nervous system disease,,22218490,marker/mechanism
mesh:d009422,Progesterone,D011374,57-83-0,Nervous System Diseases,MESH:D009422,Nervous system disease,,11129103,therapeutic
mesh:d009422,Rifampin,D012293,13292-46-1,Nervous System Diseases,MESH:D009422,Nervous system disease,,1573293,marker/mechanism
mesh:d009422,Ritonavir,D019438,,Nervous System Diseases,MESH:D009422,Nervous system disease,,20736152,marker/mechanism
mesh:d009422,Selenium,D012643,7782-49-2,Nervous System Diseases,MESH:D009422,Nervous system disease,,10082851,therapeutic
mesh:d009422,Temozolomide,D000077204,85622-93-1,Nervous System Diseases,MESH:D009422,Nervous system disease,,20684359,marker/mechanism
mesh:d009422,Testosterone,D013739,58-22-0,Nervous System Diseases,MESH:D009422,Nervous system disease,,7059952,marker/mechanism
mesh:d009422,Tetrachlorodibenzodioxin,D013749,1746-01-6,Nervous System Diseases,MESH:D009422,Nervous system disease,,17222441,marker/mechanism
mesh:d009422,Theophylline,D013806,58-55-9,Nervous System Diseases,MESH:D009422,Nervous system disease,,2038423|3949080,marker/mechanism
mesh:d009422,"tris(1,3-dichloro-2-propyl)phosphate",C016805,13674-87-8,Nervous System Diseases,MESH:D009422,Nervous system disease,,22268003,marker/mechanism
mesh:d009422,Valproic Acid,D014635,99-66-1,Nervous System Diseases,MESH:D009422,Nervous system disease,,11737171|12821749|18042239|18455366|22045034|8149357|8816215,marker/mechanism
mesh:d009422,Verapamil,D014700,52-53-9,Nervous System Diseases,MESH:D009422,Nervous system disease,,15303126,therapeutic
mesh:d009422,Vincristine,D014750,,Nervous System Diseases,MESH:D009422,Nervous system disease,,12552058|1324459|16437142|16562778|21245421|2195722|4551303|4974027|6089632|6192229|6277454|7534090|8146850,marker/mechanism
mesh:d009422,Vitamin E,D014810,1406-18-4,Nervous System Diseases,MESH:D009422,Nervous system disease,,15300460|15753152|2554183,marker/mechanism|therapeutic
mesh:d009422,Zidovudine,D015215,30516-87-1,Nervous System Diseases,MESH:D009422,Nervous system disease,,7534090,marker/mechanism
mesh:d009422,Zinc,D015032,7440-66-6,Nervous System Diseases,MESH:D009422,Nervous system disease,,20412391,marker/mechanism
mesh:d055752,Arsenic,D001151,7440-38-2,Small Cell Lung Carcinoma,MESH:D055752,Cancer|Respiratory tract disease,,20049123,marker/mechanism
mesh:d055752,Carboplatin,D016190,41575-94-4,Small Cell Lung Carcinoma,MESH:D055752,Cancer|Respiratory tract disease,,11230474|11325490|19262592|20389300|8081707|8741246,therapeutic
mesh:d055752,Cisplatin,D002945,15663-27-1,Small Cell Lung Carcinoma,MESH:D055752,Cancer|Respiratory tract disease,,10815935|15464296|20332701|21519961|21852251|7133078|9890355,therapeutic
mesh:d055752,Cyclophosphamide,D003520,50-18-0,Small Cell Lung Carcinoma,MESH:D055752,Cancer|Respiratory tract disease,,1849442|3568278|6293321,therapeutic
mesh:d055752,Doxorubicin,D004317,23214-92-8,Small Cell Lung Carcinoma,MESH:D055752,Cancer|Respiratory tract disease,,2858016|6293321|7665224,therapeutic
mesh:d055752,Etoposide,D005047,33419-42-0,Small Cell Lung Carcinoma,MESH:D055752,Cancer|Respiratory tract disease,,10815935|11888910|15499612|1849442|20332701|26683772|2858016|3568278|8081707|8098489|8384523|8741246|9890355,therapeutic
mesh:d055752,fosbretabulin,C058728,,Small Cell Lung Carcinoma,MESH:D055752,Cancer|Respiratory tract disease,,20389300,therapeutic
mesh:d055752,gemcitabine,C056507,103882-84-4,Small Cell Lung Carcinoma,MESH:D055752,Cancer|Respiratory tract disease,,11325490|19262592,therapeutic
mesh:d055752,Imatinib Mesylate,D000068877,,Small Cell Lung Carcinoma,MESH:D055752,Cancer|Respiratory tract disease,,15499612,therapeutic
mesh:d055752,Irinotecan,D000077146,,Small Cell Lung Carcinoma,MESH:D055752,Cancer|Respiratory tract disease,,21852251,therapeutic
mesh:d055752,Methotrexate,D008727,59-05-2,Small Cell Lung Carcinoma,MESH:D055752,Cancer|Respiratory tract disease,,6293321,therapeutic
mesh:d055752,Nicotine,D009538,,Small Cell Lung Carcinoma,MESH:D055752,Cancer|Respiratory tract disease,,20457658,marker/mechanism
mesh:d055752,Paclitaxel,D017239,,Small Cell Lung Carcinoma,MESH:D055752,Cancer|Respiratory tract disease,,11230474|14760117|20389300|9818034,therapeutic
mesh:d055752,Vincristine,D014750,,Small Cell Lung Carcinoma,MESH:D055752,Cancer|Respiratory tract disease,,177209|2858016|6293321,therapeutic
mesh:d001714,Acetylcysteine,D000111,616-91-1,Bipolar Disorder,MESH:D001714,Mental disorder,,20800897,therapeutic
mesh:d001714,Cannabidiol,D002185,13956-29-1,Bipolar Disorder,MESH:D001714,Mental disorder,,19939866,therapeutic
mesh:d001714,Carbamazepine,D002220,298-46-4,Bipolar Disorder,MESH:D001714,Mental disorder,,10200867|11394195|11511412|1487473|15206449|15289703|15504660|15514420|1562312|15766298|1590497|15999955|1603193|17260335|17594078|19304774|19573494|20046352|2293776|2327680|25231249|2775969|2919698|3182607|3341477|3795291|3968046|4003613|6725221|7962691|8067500|8328579|8564338|8610843,marker/mechanism|therapeutic
mesh:d001714,Chlorpromazine,D002746,50-53-3,Bipolar Disorder,MESH:D001714,Mental disorder,,1111885|11394195|17414256|2616436|4402472|4605009|5077102|8608393|961932,marker/mechanism|therapeutic
mesh:d001714,Ciprofloxacin,D002939,85721-33-1,Bipolar Disorder,MESH:D001714,Mental disorder,,11799346|17116962,marker/mechanism
mesh:d001714,Cyclosporine,D016572,59865-13-3,Bipolar Disorder,MESH:D001714,Mental disorder,,11015634,marker/mechanism
mesh:d001714,Dexamethasone,D003907,50-02-2,Bipolar Disorder,MESH:D001714,Mental disorder,,7918509,marker/mechanism
mesh:d001714,Dronabinol,D013759,,Bipolar Disorder,MESH:D001714,Mental disorder,,6295192,marker/mechanism
mesh:d001714,Ethanol,D000431,64-17-5,Bipolar Disorder,MESH:D001714,Mental disorder,,3711369,marker/mechanism
mesh:d001714,Fluoxetine,D005473,54910-89-3,Bipolar Disorder,MESH:D001714,Mental disorder,,11180215|11197585|11384912|11485152|11910263|12192418|15213579|15298662|1564030|15708425|1647392|1815442|1906498|19573494|20021991|2107764|2375448|3485926|3871593|7943454|8923100|9171912|9864074,marker/mechanism|therapeutic
mesh:d001714,Hydrocortisone,D006854,50-23-7,Bipolar Disorder,MESH:D001714,Mental disorder,,16682841,marker/mechanism
mesh:d001714,Indomethacin,D007213,53-86-1,Bipolar Disorder,MESH:D001714,Mental disorder,,3597814,marker/mechanism
mesh:d001714,Lithium Chloride,D018021,7447-41-8,Bipolar Disorder,MESH:D001714,Mental disorder,,20636639,therapeutic
mesh:d001714,Melatonin,D008550,73-31-4,Bipolar Disorder,MESH:D001714,Mental disorder,,15850501|16168024,marker/mechanism
mesh:d001714,Methamphetamine,D008694,537-46-2,Bipolar Disorder,MESH:D001714,Mental disorder,,23433219,marker/mechanism
mesh:d001714,Nicotine,D009538,,Bipolar Disorder,MESH:D001714,Mental disorder,,19628140,marker/mechanism
mesh:d001714,Ouabain,D010042,630-60-4,Bipolar Disorder,MESH:D001714,Mental disorder,,15581912|19447152|19911114|19954800|20372980|20627318|20636639,marker/mechanism
mesh:d001714,Phenytoin,D010672,57-41-0,Bipolar Disorder,MESH:D001714,Mental disorder,,2372757|2510921|7782488,marker/mechanism|therapeutic
mesh:d001714,Prednisolone,D011239,50-24-8,Bipolar Disorder,MESH:D001714,Mental disorder,,11015634,marker/mechanism
mesh:d001714,Reserpine,D012110,50-55-5,Bipolar Disorder,MESH:D001714,Mental disorder,,4402472,therapeutic
mesh:d001714,Ribavirin,D012254,36791-04-5,Bipolar Disorder,MESH:D001714,Mental disorder,,14992966|18585548,marker/mechanism
mesh:d001714,Ritonavir,D019438,,Bipolar Disorder,MESH:D001714,Mental disorder,,16368918,marker/mechanism
mesh:d001714,Selegiline,D012642,,Bipolar Disorder,MESH:D001714,Mental disorder,,1449399,marker/mechanism
mesh:d001714,Sertraline,D020280,79617-96-2,Bipolar Disorder,MESH:D001714,Mental disorder,,11531662|12807380|15708425|19573494|8185011,marker/mechanism|therapeutic
mesh:d001714,Valproic Acid,D014635,99-66-1,Bipolar Disorder,MESH:D001714,Mental disorder,,10200867|10327382|10435776|10440473|10716101|10846716|11114842|11147471|11465677|11485152|11493940|12237792|12352283|12562742|12734768|12773089|14763681|1487473|15289703|15323605|15610953|15625224|15643110|15708425|15901671|15960580|15971646|16368918|16442685|16814474|17224721|17284507|17314721|17543032|17594078|17904262|17932448|18006134|18579216|18794653|18806245|19085528|19304858|19573494|19593189|19745651|20046352|20204907|20222501|20305608|20470847|20627318|20633736|20633751|21051687|26348896|28032682|7625481|8214193|8328579|8601548|8610843|8626351|8752018|9097225|9658268,marker/mechanism|therapeutic
mesh:d001714,Verapamil,D014700,52-53-9,Bipolar Disorder,MESH:D001714,Mental disorder,,3793965|3812797,therapeutic
mesh:d001714,Zidovudine,D015215,30516-87-1,Bipolar Disorder,MESH:D001714,Mental disorder,,2716646|3163740|3193583,marker/mechanism
